longOrShort,size,price,open,signal,multiplier,balBeforeOpen,balAfterOpen,balBeforeClose,balAfterClose,sellPrice
1.0,150.0,1.2633,0,0.0001933217048646,0.005,10000.0,9850.0,9139.205935106145,9291.248205350743,1.2805
1.0,147.75,1.25445,0,0.00051189661026,0.005,9850.0,9702.25,9413.36550625,9563.12366719703,1.2715
1.0,145.53375,1.26485,0,5.817413330206331e-06,0.005,9702.25,9556.71625,9291.248205350743,9438.582645699402,1.2805
-1.0,143.35074375,1.26485,0,-6.544589996325281e-05,-0.005,9556.71625,9413.36550625,9438.582645699402,9580.159709455973,1.2805
-1.0,143.44685500795543,1.2715,0,-4.446506500108208e-06,-0.005,9563.12366719703,9419.676812189075,9577.695636634367,9719.089221676813,1.2897
1.0,141.29515218283612,1.2618,0,0.0002673387527466,0.005,9419.676812189075,9278.381660006238,9580.159709455973,9723.54886967956,1.2805
-1.0,139.17572490009357,1.27145,0,-0.0001996874809263,-0.005,9278.381660006238,9139.205935106145,9719.089221676813,9856.267261273177,1.2897
1.0,145.8532330451934,1.2805,0,6.890296936139761e-06,0.005,9723.54886967956,9577.695636634367,9278.064625765008,9425.8428253377,1.2974
1.0,147.84400891909763,1.2897,0,0.0003496050834656,0.005,9856.267261273177,9708.42325235408,9284.455182957636,9433.84675651999,1.3032
1.0,145.6263487853112,1.2928,0,0.0006626367568971,0.005,9708.42325235408,9562.796903568767,9429.873100381648,9581.796256791573,1.3487
-1.0,143.4419535535315,1.2928,0,-0.0002781271934508,-0.005,9562.796903568767,9419.354950015237,9581.796256791573,9719.035854834861,1.3487
-1.0,141.29032425022854,1.28805,0,-0.0002980351448057,-0.005,9419.354950015237,9278.064625765008,9433.84675651999,9573.475228813857,1.3032
-1.0,141.3876423800655,1.2974,0,-0.0002302050590513,-0.005,9425.8428253377,9284.455182957636,9719.035854834861,9854.832942217163,1.3487
-1.0,143.60212843220785,1.3032,0,-1.1098384857217138e-05,-0.005,9573.475228813857,9429.873100381648,9854.832942217163,9993.421337650856,1.3487
1.0,149.90132006476284,1.3487,0,0.0016814351081849,0.005,9993.421337650856,9843.520017586094,9843.520017586094,9995.338589649904,1.36595
1.0,149.93007884474855,1.36595,0,0.0023154377937317,0.005,9995.338589649904,9845.408510805155,9267.842887055342,9415.81370538003,1.3481
1.0,147.68112766207733,1.35795,0,0.0006112575531008,0.005,9845.408510805155,9697.727383143078,9273.050885219733,9417.550987818946,1.3287
-1.0,145.46591074714615,1.35795,0,-0.0027405619621275,-0.005,9697.727383143078,9552.26147239593,9417.550987818946,9566.150208253013,1.3287
-1.0,143.28392208593894,1.36265,0,-0.0038330793380735,-0.005,9552.26147239593,9408.977550309992,9415.81370538003,9560.627573575644,1.3481
-1.0,141.13466325464987,1.36175,0,-5.0854682922209226e-05,-0.005,9408.977550309992,9267.842887055342,9560.627573575644,9703.176951831892,1.3481
1.0,145.5476542774784,1.3481,0,0.0003320693969727,0.005,9703.176951831892,9557.629297554415,9566.150208253013,9709.603340986849,1.3287
-1.0,143.36443946331622,1.3574,0,-8.990764617913955e-05,-0.005,9557.629297554415,9414.264858091099,9709.603340986849,9855.998986736151,1.3287
1.0,141.21397287136648,1.3527,0,0.0001606702804566,0.005,9414.264858091099,9273.050885219733,9855.998986736151,9994.707499898112,1.3287
1.0,149.92061249847166,1.3287,0,0.000400173664093,0.005,9994.707499898112,9844.78688739964,9128.248864269664,9280.256878989272,1.3472
-1.0,147.6718033109946,1.3287,0,-3.677606582625104e-05,-0.005,9844.78688739964,9697.115084088646,9280.256878989272,9425.872591112447,1.3472
1.0,145.4567262613297,1.3266,0,7.946491241468654e-05,0.005,9697.115084088646,9551.658357827317,9425.872591112447,9573.588030294764,1.3472
1.0,143.27487536740975,1.31875,0,0.0007699012756349,0.005,9551.658357827317,9408.383482459907,9573.588030294764,9719.953840414177,1.3472
1.0,141.1257522368986,1.3256,0,0.000731372833252,0.005,9408.383482459907,9267.25773022301,9719.953840414177,9863.379167370686,1.3472
1.0,139.00886595334512,1.32435,0,0.0001627564430238,0.005,9267.25773022301,9128.248864269664,9863.379167370686,10004.786457144799,1.3472
1.0,150.071796857172,1.3472,0,0.0004208803176881,0.005,10004.786457144799,9854.714660287627,9417.8711733084,9566.272040123367,1.3322
1.0,147.82071990431442,1.34835,0,0.0008308649063111,0.005,9854.714660287627,9706.893940383314,9566.272040123367,9712.322222239678,1.3322
1.0,145.6034091057497,1.34835,0,4.844665527353034e-05,0.005,9706.893940383314,9561.290531277564,9712.322222239678,9856.181651624245,1.3322
-1.0,143.41935796916346,1.3535,0,-0.0004225730895994,-0.005,9561.290531277564,9417.8711733084,9856.181651624245,10001.857996903895,1.3322
-1.0,150.02786995355842,1.3322,0,-0.0004822254180907,-0.005,10001.857996903895,9851.830126950335,9558.49188492039,9710.783349068564,1.3121
-1.0,147.77745190425503,1.3268,0,-2.980232238764553e-05,-0.005,9851.830126950335,9704.052675046081,9710.783349068564,9860.198069998289,1.3121
-1.0,145.56079012569123,1.3251,0,-1.527070999121307e-05,-0.005,9704.052675046081,9558.49188492039,9432.621669088974,9580.467316534578,1.3043
1.0,147.90297104997433,1.3121,0,0.0003204107284547,0.005,9860.198069998289,9712.295098948314,9281.764839691472,9432.530957959394,1.3375
1.0,145.6844264842247,1.31845,0,0.000658702850342,0.005,9712.295098948314,9566.61067246409,9432.530957959394,9580.32034733529,1.3375
1.0,143.49916008696135,1.31845,0,0.0004987120628359,0.005,9566.61067246409,9423.111512377129,9580.32034733529,9725.892895870547,1.3375
1.0,141.34667268565693,1.31535,0,0.0004066705703736,0.005,9423.111512377129,9281.764839691472,9725.892895870547,9869.619793439306,1.3375
1.0,148.04429690158958,1.3375,0,0.0002967357635498,0.005,9869.619793439306,9721.575496537716,9575.75186408965,9722.097110555771,1.32215
1.0,145.82363244806575,1.32675,0,0.00020512342453,0.005,9721.575496537716,9575.75186408965,9580.467316534578,9723.823460346157,1.3043
1.0,145.83145665833655,1.32215,0,0.0001051783561708,0.005,9722.097110555771,9576.265653897435,9723.823460346157,9867.68608479835,1.3043
-1.0,143.6439848084615,1.31855,0,-0.0003455519676206,-0.005,9576.265653897435,9432.621669088974,9867.68608479835,10012.882477011552,1.3043
-1.0,150.19323715517328,1.3043,0,-0.0002359747886655,-0.005,10012.882477011552,9862.689239856378,9569.027667739654,9720.821522848104,1.2904
1.0,147.94033859784565,1.3043,0,0.0003434538841248,0.005,9862.689239856378,9714.748901258532,9720.821522848104,9867.185252761974,1.2904
1.0,145.72123351887797,1.3007,0,0.0003900289535524,0.005,9714.748901258532,9569.027667739654,9582.331163945444,9730.657163113061,1.32395
1.0,148.00777879142962,1.2904,0,0.000527012348175,0.005,9867.185252761974,9719.177473970545,9429.788964683072,9580.331594614683,1.3125
1.0,145.78766210955817,1.29355,0,0.0004019498825076,0.005,9719.177473970545,9573.389811860987,9580.331594614683,9728.2549887771,1.3125
1.0,143.6008471779148,1.30075,0,0.0001962542533875,0.005,9573.389811860987,9429.788964683072,9730.657163113061,9876.819255460707,1.32395
1.0,145.9238248316565,1.3125,0,0.0006335854530335,0.005,9728.2549887771,9582.331163945444,9580.133759218177,9727.619663850888,1.32655
1.0,148.1522888319106,1.32395,0,0.0009857058525087,0.005,9876.819255460707,9728.666966628796,9438.995907697423,9584.725524182786,1.3023
1.0,145.93000449943193,1.32395,0,8.136034011848068e-05,0.005,9728.666966628796,9582.736962129364,9584.725524182786,9728.26919642087,1.3023
-1.0,143.74105443194046,1.32185,0,-0.0002784252166746,-0.005,9582.736962129364,9438.995907697423,9728.26919642087,9874.136163485971,1.3023
-1.0,148.11204245228956,1.3023,0,-0.0004740715026854,-0.005,9874.136163485971,9726.024121033683,9727.619663850888,9872.973726552376,1.32655
-1.0,145.89036181550523,1.3131,0,-0.0001519918441769,-0.005,9726.024121033683,9580.133759218177,9872.973726552376,10017.36974264675,1.32655
1.0,150.26054613970123,1.32655,0,0.000668716430664,0.005,10017.36974264675,9867.109196507048,9288.270535680158,9440.224493424992,1.3415
1.0,148.00663794760573,1.3244,0,0.0010670900344849,0.005,9867.109196507048,9719.102558559442,9440.224493424992,9590.142120128945,1.3415
1.0,145.7865383783916,1.32705,0,0.0005758285522462,0.005,9719.102558559442,9573.31602018105,9590.142120128945,9737.516100939474,1.3415
-1.0,143.59974030271573,1.32705,0,-0.000515294075012,-0.005,9573.31602018105,9429.716279878334,9737.516100939474,9879.552210446534,1.3415
-1.0,141.445744198175,1.32873,0,-0.0001451492309568,-0.005,9429.716279878334,9288.270535680158,9299.983599501335,9437.685432729299,1.3639
-1.0,148.19328315669802,1.3415,0,-4.687309265122834e-05,-0.005,9879.552210446534,9731.358927289837,9437.685432729299,9583.404224985727,1.3639
1.0,145.97038390934756,1.33035,0,0.0001312255859375,0.005,9731.358927289837,9585.38854338049,9583.404224985727,9733.055825402127,1.3639
-1.0,143.78082815070735,1.33,0,-6.676912307715495e-05,-0.005,9585.38854338049,9441.607715229782,9733.055825402127,9873.17186402328,1.3639
-1.0,141.62411572844672,1.3386,0,-0.0003246068954466,-0.005,9441.607715229782,9299.983599501335,9873.17186402328,10012.119235296379,1.3639
1.0,150.18178852944567,1.3639,0,0.0002780437469483,0.005,10012.119235296379,9861.937446766933,9006.98887875072,9155.579548544005,1.34945
1.0,147.929061701504,1.3639,0,0.0014059424400329,0.005,9861.937446766933,9714.00838506543,9155.579548544005,9301.94135829039,1.34945
1.0,145.71012577598145,1.36315,0,7.145404815683515e-05,0.005,9714.00838506543,9568.298259289448,9301.94135829039,9446.18706069174,1.34945
-1.0,143.52447388934172,1.3584,0,-0.0009615182876584,-0.005,9568.298259289448,9424.773785400106,9447.137276757407,9588.559176272192,1.3783
-1.0,141.3716067810016,1.36765,0,-0.0005152940750121,-0.005,9424.773785400106,9283.402178619104,9446.18706069174,9589.43996988448,1.34945
1.0,139.25103267928657,1.354,0,0.0002377271652222,0.005,9283.402178619104,9144.151145939817,9588.559176272192,9730.309322758058,1.3783
1.0,137.16226718909726,1.3631,0,3.707408905034716e-05,0.005,9144.151145939817,9006.98887875072,9589.43996988448,9725.22870252209,1.34945
1.0,145.87843053783135,1.34945,0,0.0002462506294251,0.005,9725.22870252209,9579.350271984258,9154.713240871388,9302.196988163072,1.3643
1.0,143.69025407976386,1.34945,0,0.0001326084136963,0.005,9579.350271984258,9435.660017904494,9302.196988163072,9447.46847924538,1.3643
1.0,141.5349002685674,1.3453,0,0.0003101825714113,0.005,9435.660017904494,9294.125117635927,9447.46847924538,9591.00231142884,1.3643
1.0,139.4118767645389,1.355,0,0.000158178806305,0.005,9294.125117635927,9154.713240871388,9730.309322758058,9872.118466480984,1.3783
1.0,143.8650346714326,1.3643,0,0.0006585836410523,0.005,9591.00231142884,9447.137276757407,9872.118466480984,10017.459797044377,1.3783
1.0,150.26189695566566,1.3783,0,0.0005550503730774,0.005,10017.459797044377,9867.197900088711,9867.197900088711,10019.176857827264,1.39405
1.0,150.28765286740895,1.39405,0,0.0008674025535583,0.005,10019.176857827264,9868.889204959854,9580.235242469893,9732.851515761202,1.41565
1.0,148.03333807439782,1.39955,0,0.0001235842704773,0.005,9868.889204959854,9720.855866885457,9150.596930856751,9296.895606543652,1.38315
