day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 52, date: 2009-04-25, price: 1.32395, Account Balance: 9686.758941954318, in play: 294.22778560808365, total: 9980.986727562402
day: 53, date: 2009-04-26, price: 1.32185, Account Balance: 9541.457557825004, in play: 438.83200499821004, total: 9980.289562823215
day: 54, date: 2009-04-27, price: 1.3023, Account Balance: 9398.33569445763, in play: 573.3468417539823, total: 9971.682536211612
day: 55, date: 2009-04-28, price: 1.3131, Account Balance: 9684.70957919488, in play: 294.2173114260502, total: 9978.926890620929
day: 56, date: 2009-04-29, price: 1.32655, Account Balance: 9539.438935506956, in play: 443.9896023581154, total: 9983.428537865071
day: 57, date: 2009-04-30, price: 1.3244, Account Balance: 9830.609913248947, in play: 149.462086234227, total: 9980.071999483174
day: 58, date: 2009-05-01, price: 1.32705, Account Balance: 9683.150764550213, in play: 297.51534643445046, total: 9980.666110984665
day: 59, date: 2009-05-02, price: 1.32705, Account Balance: 9537.90350308196, in play: 442.7626079027036, total: 9980.666110984663
day: 60, date: 2009-05-03, price: 1.32873, Account Balance: 9394.834950535731, in play: 586.5728027002078, total: 9981.407753235939
day: 61, date: 2009-05-04, price: 1.3415, Account Balance: 9253.912426277695, in play: 734.4870523842194, total: 9988.399478661915
day: 62, date: 2009-05-05, price: 1.33035, Account Balance: 9688.240657788168, in play: 287.40473362877674, total: 9975.645391416945
day: 63, date: 2009-05-06, price: 1.33, Account Balance: 9542.917047921346, in play: 432.6144975751847, total: 9975.531545496531
day: 64, date: 2009-05-07, price: 1.3386, Account Balance: 9399.773292202526, in play: 579.4812013980112, total: 9979.254493600538
day: 65, date: 2009-05-08, price: 1.3639, Account Balance: 9258.776692819489, in play: 734.095078802684, total: 9992.871771622173
day: 66, date: 2009-05-09, price: 1.3639, Account Balance: 9823.32136306545, in play: 149.5937263410982, total: 9972.915089406548
day: 67, date: 2009-05-10, price: 1.36315, Account Balance: 9675.971542619469, in play: 296.78025940524094, total: 9972.75180202471
day: 68, date: 2009-05-11, price: 1.3584, Account Balance: 9530.831969480178, in play: 440.37992922898695, total: 9971.211898709165
day: 69, date: 2009-05-12, price: 1.36765, Account Balance: 9387.869489937975, in play: 587.3146682537673, total: 9975.184158191743
day: 70, date: 2009-05-13, price: 1.354, Account Balance: 9247.051447588905, in play: 720.8654920164086, total: 9967.916939605313
day: 71, date: 2009-05-14, price: 1.3631, Account Balance: 9108.34567587507, in play: 865.3482936415754, total: 9973.693969516646
day: 72, date: 2009-05-15, price: 1.34945, Account Balance: 8971.720490736945, in play: 991.9397776680125, total: 9963.660268404958
day: 73, date: 2009-05-16, price: 1.34945, Account Balance: 9553.607218638519, in play: 425.74661943195025, total: 9979.353838070469
day: 74, date: 2009-05-17, price: 1.3453, Account Balance: 9410.303110358942, in play: 567.3007106527241, total: 9977.603821011666
day: 75, date: 2009-05-18, price: 1.355, Account Balance: 9269.148563703558, in play: 713.5634235133327, total: 9982.711987216891
day: 76, date: 2009-05-19, price: 1.3643, Account Balance: 9130.111335248004, in play: 858.4524498015879, total: 9988.563785049591
day: 77, date: 2009-05-20, price: 1.3783, Account Balance: 9415.488884776472, in play: 572.534403559933, total: 9988.023288336406
day: 78, date: 2009-05-21, price: 1.39405, Account Balance: 9826.468601938053, in play: 151.35162702672875, total: 9977.820228964782
day: 79, date: 2009-05-22, price: 1.39955, Account Balance: 9824.784278345795, in play: 150.20629011324442, total: 9974.99056845904
day: 80, date: 2009-05-23, price: 1.39955, Account Balance: 9677.412514170608, in play: 297.5780542884313, total: 9974.99056845904
day: 81, date: 2009-05-24, price: 1.40255, Account Balance: 9532.251326458048, in play: 443.6882739941333, total: 9975.939600452182
day: 82, date: 2009-05-25, price: 1.4009, Account Balance: 9389.267556561177, in play: 585.9818660916955, total: 9975.249422652872
day: 83, date: 2009-05-26, price: 1.3992, Account Balance: 9248.42854321276, in play: 725.9388782301422, total: 9974.367421442903
day: 84, date: 2009-05-27, price: 1.38315, Account Balance: 9109.702115064569, in play: 854.7468685800401, total: 9964.448983644608
day: 85, date: 2009-05-28, price: 1.39475, Account Balance: 9682.711269369438, in play: 298.38022008832934, total: 9981.091489457767
day: 86, date: 2009-05-29, price: 1.41565, Account Balance: 9537.470600328896, in play: 450.26844358866197, total: 9987.739043917558
day: 87, date: 2009-05-30, price: 1.41565, Account Balance: 9822.243108830455, in play: 149.5773062258445, total: 9971.8204150563
day: 88, date: 2009-05-31, price: 1.41041, Account Balance: 9674.909462197998, in play: 295.8119429384924, total: 9970.72140513649
day: 89, date: 2009-06-01, price: 1.41805, Account Balance: 9529.785820265028, in play: 443.32407323188096, total: 9973.109893496909
day: 90, date: 2009-06-02, price: 1.42885, Account Balance: 9386.839032961052, in play: 590.7359536523102, total: 9977.574986613363
day: 91, date: 2009-06-03, price: 1.4142, Account Balance: 9387.11431810249, in play: 580.6508278499776, total: 9967.765145952468
day: 92, date: 2009-06-04, price: 1.41675, Account Balance: 9385.670626762321, in play: 583.1441168594562, total: 9968.814743621777
day: 93, date: 2009-06-05, price: 1.3965, Account Balance: 9244.885567360887, in play: 713.5818561131706, total: 9958.467423474058
day: 94, date: 2009-06-06, price: 1.3965, Account Balance: 9820.966950478058, in play: 149.55787234230544, total: 9970.524822820364
day: 95, date: 2009-06-07, price: 1.39745, Account Balance: 9673.652446220887, in play: 297.074330597163, total: 9970.72677681805
day: 96, date: 2009-06-08, price: 1.39285, Account Balance: 9528.547659527574, in play: 440.7235919124405, total: 9969.271251440015
day: 97, date: 2009-06-09, price: 1.4062, Account Balance: 9385.61944463466, in play: 589.2459135798463, total: 9974.865358214505
day: 98, date: 2009-06-10, price: 1.3988, Account Balance: 9244.83515296514, in play: 726.1884874860002, total: 9971.023640451142
day: 99, date: 2009-06-11, price: 1.41245, Account Balance: 9106.162625670664, in play: 873.3006436421826, total: 9979.463269312846
day: 100, date: 2009-06-12, price: 1.4015, Account Balance: 9542.161479765118, in play: 423.43951273465973, total: 9965.600992499778
day: 101, date: 2009-06-13, price: 1.4015, Account Balance: 9399.029057568641, in play: 566.5719349311365, total: 9965.600992499778
day: 102, date: 2009-06-14, price: 1.39763, Account Balance: 9258.043621705112, in play: 705.6035734168743, total: 9963.647195121986
day: 103, date: 2009-06-15, price: 1.37737, Account Balance: 9260.803585974503, in play: 692.6552105574931, total: 9953.458796531997
day: 104, date: 2009-06-16, price: 1.38143, Account Balance: 9814.02832750831, in play: 149.89274032627034, total: 9963.921067834579
day: 105, date: 2009-06-17, price: 1.39681, Account Balance: 9666.817902595685, in play: 300.4109308740515, total: 9967.228833469737
