timestamp,value
2008-08-19 00:00,1.47914
2008-08-20 00:00,1.47499
2008-08-21 00:00,1.4887
2008-08-22 00:00,1.47909
2008-08-24 00:00,1.47805
2008-08-25 00:00,1.47242
2008-08-26 00:00,1.46429
2008-08-27 00:00,1.4743
2008-08-28 00:00,1.47013
2008-08-29 00:00,1.46714
2008-08-31 00:00,1.46967
2008-09-01 00:00,1.4581
2008-09-02 00:00,1.44873
2008-09-03 00:00,1.45129
2008-09-04 00:00,1.42572
2008-09-05 00:00,1.42666
2008-09-07 00:00,1.43524
2008-09-08 00:00,1.4133
2008-09-09 00:00,1.40919
2008-09-10 00:00,1.39359
2008-09-11 00:00,1.40064
2008-09-12 00:00,1.42204
2008-09-14 00:00,1.43163
2008-09-15 00:00,1.42425
2008-09-16 00:00,1.41656
2008-09-17 00:00,1.4335
2008-09-18 00:00,1.42985
2008-09-19 00:00,1.44646
2008-09-21 00:00,1.44887
2008-09-22 00:00,1.48008
2008-09-23 00:00,1.46831
2008-09-24 00:00,1.4651
2008-09-25 00:00,1.46624
2008-09-26 00:00,1.46108
2008-09-28 00:00,1.45357
2008-09-29 00:00,1.43655
2008-09-30 00:00,1.41178
2008-10-01 00:00,1.39905
2008-10-02 00:00,1.3786
2008-10-03 00:00,1.37705
2008-10-05 00:00,1.3649
2008-10-06 00:00,1.3515
2008-10-07 00:00,1.357
2008-10-08 00:00,1.3608
2008-10-09 00:00,1.35568
2008-10-10 00:00,1.34091
2008-10-12 00:00,1.35955
2008-10-13 00:00,1.36528
2008-10-14 00:00,1.35616
2008-10-15 00:00,1.34334
2008-10-16 00:00,1.34835
2008-10-17 00:00,1.34052
2008-10-19 00:00,1.34418
2008-10-20 00:00,1.33373
2008-10-21 00:00,1.30052
2008-10-22 00:00,1.27701
2008-10-23 00:00,1.28979
2008-10-24 00:00,1.2619
2008-10-26 00:00,1.26188
2008-10-27 00:00,1.24602
2008-10-28 00:00,1.28055
2008-10-29 00:00,1.2956
2008-10-30 00:00,1.28685
2008-10-31 00:00,1.27245
2008-11-02 00:00,1.27711
2008-11-03 00:00,1.26135
2008-11-04 00:00,1.2981
2008-11-05 00:00,1.29135
2008-11-06 00:00,1.26875
2008-11-07 00:00,1.2716
2008-11-09 00:00,1.2823
2008-11-10 00:00,1.2745
2008-11-11 00:00,1.2511
2008-11-12 00:00,1.2457
2008-11-13 00:00,1.2786
2008-11-14 00:00,1.26025
2008-11-16 00:00,1.25215
2008-11-17 00:00,1.26405
2008-11-18 00:00,1.26345
2008-11-19 00:00,1.2503
2008-11-20 00:00,1.2438
2008-11-21 00:00,1.25855
2008-11-23 00:00,1.264
2008-11-24 00:00,1.29135
2008-11-25 00:00,1.303
2008-11-26 00:00,1.28935
2008-11-27 00:00,1.28925
2008-11-28 00:00,1.2689
2008-11-30 00:00,1.26676
2008-12-01 00:00,1.2596
2008-12-02 00:00,1.2708
2008-12-03 00:00,1.2704
2008-12-04 00:00,1.2773
2008-12-05 00:00,1.27198
2008-12-07 00:00,1.2729
2008-12-08 00:00,1.29125
2008-12-09 00:00,1.2926
2008-12-10 00:00,1.3013
2008-12-11 00:00,1.33275
2008-12-12 00:00,1.33682
2008-12-14 00:00,1.3442
2008-12-15 00:00,1.3694
2008-12-16 00:00,1.4065
2008-12-17 00:00,1.44055
2008-12-18 00:00,1.4293
2008-12-19 00:00,1.3911
2008-12-21 00:00,1.39755
2008-12-22 00:00,1.39519
2008-12-23 00:00,1.3933
2008-12-24 00:00,1.40008
2008-12-25 00:00,1.40125
2008-12-26 00:00,1.40182
2008-12-28 00:00,1.4103
2008-12-29 00:00,1.40335
2008-12-30 00:00,1.41395
2008-12-31 00:00,1.39746
2009-01-01 00:00,1.39974
2009-01-02 00:00,1.39185
2009-01-04 00:00,1.39575
2009-01-05 00:00,1.36365
2009-01-06 00:00,1.35045
2009-01-07 00:00,1.36135
2009-01-08 00:00,1.3696
2009-01-09 00:00,1.34672
2009-01-11 00:00,1.34155
2009-01-12 00:00,1.3357
2009-01-13 00:00,1.31985
2009-01-14 00:00,1.32115
2009-01-15 00:00,1.31585
2009-01-16 00:00,1.3264
2009-01-18 00:00,1.3357
2009-01-19 00:00,1.30925
2009-01-20 00:00,1.28825
2009-01-21 00:00,1.3
2009-01-22 00:00,1.3004
2009-01-23 00:00,1.29725
2009-01-25 00:00,1.28945
2009-01-26 00:00,1.3187
2009-01-27 00:00,1.3214
2009-01-28 00:00,1.31525
2009-01-29 00:00,1.2937
2009-01-30 00:00,1.28105
2009-02-01 00:00,1.27495
2009-02-02 00:00,1.2813
2009-02-03 00:00,1.30105
2009-02-04 00:00,1.28545
2009-02-05 00:00,1.27885
2009-02-06 00:00,1.2938
2009-02-08 00:00,1.2958
2009-02-09 00:00,1.29605
2009-02-10 00:00,1.29105
2009-02-11 00:00,1.28655
2009-02-12 00:00,1.28825
2009-02-13 00:00,1.28605
2009-02-15 00:00,1.27905
2009-02-16 00:00,1.2797
2009-02-17 00:00,1.25825
2009-02-18 00:00,1.25655
2009-02-19 00:00,1.26565
2009-02-20 00:00,1.2825
2009-02-22 00:00,1.2791
2009-02-23 00:00,1.267
2009-02-24 00:00,1.287
2009-02-25 00:00,1.2716
2009-02-26 00:00,1.27175
2009-02-27 00:00,1.2669
2009-03-01 00:00,1.2589
2009-03-02 00:00,1.25605
2009-03-03 00:00,1.2528
2009-03-04 00:00,1.2633
2009-03-05 00:00,1.25445
2009-03-06 00:00,1.26485
2009-03-08 00:00,1.2715
2009-03-09 00:00,1.2618
2009-03-10 00:00,1.27145
2009-03-11 00:00,1.2805
2009-03-12 00:00,1.2897
2009-03-13 00:00,1.2928
2009-03-15 00:00,1.28805
2009-03-16 00:00,1.2974
2009-03-17 00:00,1.3032
2009-03-18 00:00,1.3487
2009-03-19 00:00,1.36595
2009-03-20 00:00,1.35795
2009-03-22 00:00,1.36265
2009-03-23 00:00,1.36175
2009-03-24 00:00,1.3481
2009-03-25 00:00,1.3574
2009-03-26 00:00,1.3527
2009-03-27 00:00,1.3287
2009-03-29 00:00,1.3266
2009-03-30 00:00,1.31875
2009-03-31 00:00,1.3256
2009-04-01 00:00,1.32435
2009-04-02 00:00,1.3472
2009-04-03 00:00,1.34835
2009-04-05 00:00,1.3535
2009-04-06 00:00,1.3322
2009-04-07 00:00,1.3268
2009-04-08 00:00,1.3251
2009-04-09 00:00,1.3121
2009-04-10 00:00,1.31845
2009-04-12 00:00,1.31535
2009-04-13 00:00,1.3375
2009-04-14 00:00,1.32675
2009-04-15 00:00,1.32215
2009-04-16 00:00,1.31855
2009-04-17 00:00,1.3043
2009-04-19 00:00,1.3007
2009-04-20 00:00,1.2904
2009-04-21 00:00,1.29355
2009-04-22 00:00,1.30075
2009-04-23 00:00,1.3125
2009-04-24 00:00,1.32395
2009-04-26 00:00,1.32185
2009-04-27 00:00,1.3023
2009-04-28 00:00,1.3131
2009-04-29 00:00,1.32655
2009-04-30 00:00,1.3244
2009-05-01 00:00,1.32705
2009-05-03 00:00,1.32873
2009-05-04 00:00,1.3415
2009-05-05 00:00,1.33035
2009-05-06 00:00,1.33
2009-05-07 00:00,1.3386
2009-05-08 00:00,1.3639
2009-05-10 00:00,1.36315
2009-05-11 00:00,1.3584
2009-05-12 00:00,1.36765
2009-05-13 00:00,1.354
2009-05-14 00:00,1.3631
2009-05-15 00:00,1.34945
2009-05-17 00:00,1.3453
2009-05-18 00:00,1.355
2009-05-19 00:00,1.3643
2009-05-20 00:00,1.3783
2009-05-21 00:00,1.39405
2009-05-22 00:00,1.39955
2009-05-24 00:00,1.40255
2009-05-25 00:00,1.4009
2009-05-26 00:00,1.3992
2009-05-27 00:00,1.38315
2009-05-28 00:00,1.39475
2009-05-29 00:00,1.41565
2009-05-31 00:00,1.41041
2009-06-01 00:00,1.41805
2009-06-02 00:00,1.42885
2009-06-03 00:00,1.4142
2009-06-04 00:00,1.41675
2009-06-05 00:00,1.3965
2009-06-07 00:00,1.39745
2009-06-08 00:00,1.39285
2009-06-09 00:00,1.4062
2009-06-10 00:00,1.3988
2009-06-11 00:00,1.41245
2009-06-12 00:00,1.4015
2009-06-14 00:00,1.39763
2009-06-15 00:00,1.37737
2009-06-16 00:00,1.38143
2009-06-17 00:00,1.39681
2009-06-18 00:00,1.3908
2009-06-19 00:00,1.3938
2009-06-21 00:00,1.39355
2009-06-22 00:00,1.3849
2009-06-23 00:00,1.4069
2009-06-24 00:00,1.39415
2009-06-25 00:00,1.40092
2009-06-26 00:00,1.4053
2009-06-28 00:00,1.40695
2009-06-29 00:00,1.40691
2009-06-30 00:00,1.4098
2009-07-01 00:00,1.41447
2009-07-02 00:00,1.39596
2009-07-03 00:00,1.39792
2009-07-05 00:00,1.39573
2009-07-06 00:00,1.39914
2009-07-07 00:00,1.38957
2009-07-08 00:00,1.38615
2009-07-09 00:00,1.4009
2009-07-10 00:00,1.39351
2009-07-12 00:00,1.39712
2009-07-13 00:00,1.40015
2009-07-14 00:00,1.39787
2009-07-15 00:00,1.40908
2009-07-16 00:00,1.41309
2009-07-17 00:00,1.40986
2009-07-19 00:00,1.41333
2009-07-20 00:00,1.42075
2009-07-21 00:00,1.41972
2009-07-22 00:00,1.42008
2009-07-23 00:00,1.41609
2009-07-24 00:00,1.42006
2009-07-26 00:00,1.41913
2009-07-27 00:00,1.4244
2009-07-28 00:00,1.41451
2009-07-29 00:00,1.40137
2009-07-30 00:00,1.40831
2009-07-31 00:00,1.42555
2009-08-02 00:00,1.42873
2009-08-03 00:00,1.44065
2009-08-04 00:00,1.44147
2009-08-05 00:00,1.4408
2009-08-06 00:00,1.43683
2009-08-07 00:00,1.41804
2009-08-09 00:00,1.41917
2009-08-10 00:00,1.41289
2009-08-11 00:00,1.41507
2009-08-12 00:00,1.42157
2009-08-13 00:00,1.42718
2009-08-14 00:00,1.42011
2009-08-16 00:00,1.41677
2009-08-17 00:00,1.41055
2009-08-18 00:00,1.41271
2009-08-19 00:00,1.42475
2009-08-20 00:00,1.42532
2009-08-21 00:00,1.43247
2009-08-23 00:00,1.43381
2009-08-24 00:00,1.4288
2009-08-25 00:00,1.42862
2009-08-26 00:00,1.42332
2009-08-27 00:00,1.43704
2009-08-28 00:00,1.43013
2009-08-30 00:00,1.43039
2009-08-31 00:00,1.43349
2009-09-01 00:00,1.4206
2009-09-02 00:00,1.4269
2009-09-03 00:00,1.42557
2009-09-04 00:00,1.42928
2009-09-06 00:00,1.43207
2009-09-07 00:00,1.43335
2009-09-08 00:00,1.45002
