day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 1, date: 2009-03-05, price: 1.25445, Account Balance: 9850.0, in play: 148.94918071716933, total: 9998.949180717169
day: 2, date: 2009-03-06, price: 1.26485, Account Balance: 9702.25, in play: 299.1589610826351, total: 10001.408961082636
day: 3, date: 2009-03-07, price: 1.26485, Account Balance: 9556.71625, in play: 444.69271108263507, total: 10001.408961082634
day: 4, date: 2009-03-08, price: 1.2715, Account Balance: 9413.36550625, in play: 591.1351170650239, total: 10004.500623315023
day: 5, date: 2009-03-09, price: 1.2618, Account Balance: 9415.720735123426, in play: 580.30253083306, total: 9996.023265956486
day: 6, date: 2009-03-10, price: 1.27145, Account Balance: 9274.484924096576, in play: 727.0565261989098, total: 10001.541450295486
day: 7, date: 2009-03-11, price: 1.2805, Account Balance: 9135.367650235128, in play: 872.3391017950285, total: 10007.706752030157
day: 8, date: 2009-03-12, price: 1.2897, Account Balance: 9565.655662625966, in play: 433.26961463655766, total: 9998.925277262524
day: 9, date: 2009-03-13, price: 1.2928, Account Balance: 9704.425668606256, in play: 295.2074855166493, total: 9999.633154122905
day: 10, date: 2009-03-14, price: 1.2928, Account Balance: 9558.859283577163, in play: 440.77387054574314, total: 9999.633154122906
day: 11, date: 2009-03-15, price: 1.28805, Account Balance: 9415.476394323507, in play: 582.0104536352243, total: 9997.486847958731
day: 12, date: 2009-03-16, price: 1.2974, Account Balance: 9274.244248408653, in play: 728.4926428758743, total: 10002.736891284527
day: 13, date: 2009-03-17, price: 1.3032, Account Balance: 9276.721711140479, in play: 725.3985332916978, total: 10002.120244432177
day: 14, date: 2009-03-18, price: 1.3487, Account Balance: 9422.363460878441, in play: 596.7965715010455, total: 10019.160032379486
day: 15, date: 2009-03-19, price: 1.36595, Account Balance: 9856.473028692555, in play: 152.01834893698268, total: 10008.491377629538
day: 16, date: 2009-03-20, price: 1.35795, Account Balance: 9854.582050420015, in play: 149.19085928780746, total: 10003.772909707823
day: 17, date: 2009-03-21, price: 1.35795, Account Balance: 9706.763319663714, in play: 297.00959004410765, total: 10003.772909707823
day: 18, date: 2009-03-22, price: 1.36265, Account Balance: 9561.161869868758, in play: 444.1429606662246, total: 10005.304830534982
day: 19, date: 2009-03-23, price: 1.36175, Account Balance: 9417.744441820727, in play: 587.1723181533322, total: 10004.91675997406
day: 20, date: 2009-03-24, price: 1.3481, Account Balance: 9276.478275193416, in play: 721.1367147661355, total: 9997.614989959551
day: 21, date: 2009-03-25, price: 1.3574, Account Balance: 9564.591648611977, in play: 439.95982495889564, total: 10004.551473570873
day: 22, date: 2009-03-26, price: 1.3527, Account Balance: 9421.122773882797, in play: 581.4085767408719, total: 10002.531350623669
day: 23, date: 2009-03-27, price: 1.3287, Account Balance: 9279.805932274554, in play: 709.9026120798901, total: 9989.708544354444
day: 24, date: 2009-03-28, price: 1.3287, Account Balance: 9855.203938883162, in play: 150.07924780025118, total: 10005.283186683413
day: 25, date: 2009-03-29, price: 1.3266, Account Balance: 9707.375879799914, in play: 297.4364667055387, total: 10004.812346505452
day: 26, date: 2009-03-30, price: 1.31875, Account Balance: 9561.765241602916, in play: 440.4254255919051, total: 10002.190667194822
day: 27, date: 2009-03-31, price: 1.3256, Account Balance: 9418.338762978872, in play: 586.8846136331083, total: 10005.22337661198
day: 28, date: 2009-04-01, price: 1.32435, Account Balance: 9277.06368153419, in play: 727.4730628970074, total: 10004.536744431196
day: 29, date: 2009-04-02, price: 1.3472, Account Balance: 9137.907726311176, in play: 881.5816160465823, total: 10019.489342357758
day: 30, date: 2009-04-03, price: 1.34835, Account Balance: 9845.265661133823, in play: 150.05588527500305, total: 9995.321546408826
day: 31, date: 2009-04-04, price: 1.34835, Account Balance: 9697.586676216815, in play: 297.73487019201036, total: 9995.321546408826
day: 32, date: 2009-04-05, price: 1.3535, Account Balance: 9552.122876073563, in play: 444.8914601540979, total: 9997.014336227661
day: 33, date: 2009-04-06, price: 1.3322, Account Balance: 9408.84103293246, in play: 578.9172328406852, total: 9987.758265773145
day: 34, date: 2009-04-07, price: 1.3268, Account Balance: 9848.147428693108, in play: 149.36388579468962, total: 9997.511314487798
day: 35, date: 2009-04-08, price: 1.3251, Account Balance: 9700.425217262711, in play: 296.70544726632636, total: 9997.130664529037
day: 36, date: 2009-04-09, price: 1.3121, Account Balance: 9554.91883900377, in play: 437.87347088650125, total: 9992.792309890272
day: 37, date: 2009-04-10, price: 1.31845, Account Balance: 9700.982732139622, in play: 293.22181067399197, total: 9994.204542813615
