date,price,slope,1pred,2pred,3pred,4pred,5pred
2009-03-04,1.2633,-0.0001933217048646002,1.2506380081176758,1.2506636381149292,1.2486079931259155,1.2473514080047607,1.2513275146484375
2009-03-05,1.25445,-0.0005118966102600891,1.2484289407730103,1.2475754022598267,1.2419772148132324,1.2398862838745117,1.2497140169143677
2009-03-06,1.26485,-5.817413330206331e-06,1.246387004852295,1.2468405961990356,1.2441705465316772,1.2426785230636597,1.2484389543533325
2009-03-07,1.26485,6.544589996325281e-05,1.2529152631759644,1.251965045928955,1.2469542026519775,1.245980978012085,1.2562345266342163
2009-03-08,1.2715,4.446506500108208e-06,1.2532042264938354,1.252811074256897,1.2491819858551025,1.2476825714111328,1.2557907104492188
2009-03-09,1.2618,-0.0002673387527466916,1.2546775341033936,1.2529399394989014,1.2451226711273193,1.2439093589782715,1.2578561305999756
2009-03-10,1.27145,0.00019968748092639768,1.25467050075531,1.2545729875564575,1.2526195049285889,1.2517929077148438,1.2570589780807495
2009-03-11,1.2805,-6.890296936139761e-06,1.266006588935852,1.2642452716827393,1.2580000162124634,1.2573063373565674,1.2694416046142578
2009-03-12,1.2897,-0.00034960508346569,1.2710180282592773,1.2686805725097656,1.2601678371429443,1.2583364248275757,1.2744420766830444
2009-03-13,1.2928,-0.000662636756897146,1.2789771556854248,1.2738219499588013,1.2575901746749878,1.2573357820510864,1.2839070558547974
2009-03-14,1.2928,0.0002781271934508587,1.2782789468765259,1.2741491794586182,1.2646310329437256,1.265398621559143,1.284044861793518
2009-03-15,1.28805,0.00029803514480579115,1.2770073413848877,1.2752690315246582,1.2708370685577393,1.2705127000808716,1.2808756828308105
2009-03-16,1.2974,0.00023020505905138402,1.281057357788086,1.2807585000991821,1.2785965204238892,1.2778937816619873,1.283640742301941
2009-03-17,1.3032,1.1098384857217138e-05,1.2876735925674438,1.2871015071868896,1.2827398777008057,1.2813469171524048,1.2906063795089722
2009-03-18,1.3487,-0.0016814351081849543,1.3178150653839111,1.3078657388687134,1.290481686592102,1.2899277210235596,1.318376898765564
2009-03-19,1.36595,-0.0023154377937317913,1.3499654531478882,1.3315341472625732,1.2989932298660278,1.3015867471694946,1.353361964225769
2009-03-20,1.35795,-0.000611257553100819,1.3438071012496948,1.3278846740722656,1.295300006866455,1.3000807762145996,1.354652762413025
2009-03-21,1.35795,0.002740561962127554,1.3469491004943848,1.3244493007659912,1.305816650390625,1.3258458375930786,1.3599536418914795
2009-03-22,1.36265,0.0038330793380735536,1.3488482236862183,1.3336443901062012,1.333482027053833,1.3491370677947998,1.3602672815322876
2009-03-23,1.36175,5.0854682922209226e-05,1.3482707738876343,1.348017692565918,1.345686912536621,1.3446273803710938,1.3502202033996582
2009-03-24,1.3481,-0.0003320693969727781,1.34452223777771,1.3436057567596436,1.3388242721557617,1.3370873928070068,1.346121072769165
2009-03-25,1.3574,8.990764617913955e-05,1.3450666666030884,1.3452486991882324,1.3435912132263184,1.3426847457885742,1.3467981815338135
2009-03-26,1.3527,-0.00016067028045668,1.3460968732833862,1.3455522060394287,1.3425451517105103,1.3411686420440674,1.3474853038787842
2009-03-27,1.3287,-0.0004001736640930519,1.3371787071228027,1.3365232944488525,1.3337098360061646,1.3319820165634155,1.3374484777450562
2009-03-28,1.3287,3.6776065826251034e-05,1.3339983224868774,1.3337465524673462,1.331754207611084,1.3317232131958008,1.3351938724517822
2009-03-29,1.3266,-7.946491241468654e-05,1.331316351890564,1.330915927886963,1.3301690816879272,1.3296537399291992,1.331550121307373
2009-03-30,1.31875,-0.0007699012756349443,1.3254790306091309,1.3251560926437378,1.32254159450531,1.320332646369934,1.3240412473678589
2009-03-31,1.3256,-0.0007313728332520221,1.323555588722229,1.3217852115631104,1.3149056434631348,1.3137266635894775,1.3239279985427856
2009-04-01,1.32435,-0.000162756443023835,1.3134154081344604,1.3133922815322876,1.3106213808059692,1.3090734481811523,1.3147610425949097
2009-04-02,1.3472,-0.0004208803176881125,1.3252946138381958,1.3233624696731567,1.3161088228225708,1.3142281770706177,1.3277573585510254
2009-04-03,1.34835,-0.0008308649063111836,1.336498737335205,1.331204891204834,1.3147178888320923,1.3138318061828613,1.3410309553146362
2009-04-04,1.34835,-4.844665527353034e-05,1.329559087753296,1.3268475532531738,1.317458987236023,1.3160851001739502,1.3346980810165405
2009-04-05,1.3535,0.00042257308959949664,1.3385632038116455,1.3335944414138794,1.3233362436294556,1.3255811929702759,1.3446826934814453
2009-04-06,1.3322,0.0004822254180907675,1.330698847770691,1.3292945623397827,1.3269357681274414,1.3269137144088745,1.3343003988265991
2009-04-07,1.3268,2.9802322387645534e-05,1.3287650346755981,1.3283281326293945,1.3269178867340088,1.3260045051574707,1.3300758600234985
2009-04-08,1.3251,1.527070999121307e-05,1.3290131092071533,1.3284738063812256,1.3271675109863281,1.3269299268722534,1.3298614025115967
2009-04-09,1.3121,-0.0003204107284547831,1.321775197982788,1.321844220161438,1.3203725814819336,1.3189491033554077,1.3216207027435303
2009-04-10,1.31845,-0.0006587028503420282,1.320696234703064,1.3195083141326904,1.315163254737854,1.3139278888702393,1.3201929330825806
2009-04-11,1.31845,-0.0004987120628359447,1.3139011859893799,1.3126771450042725,1.3079257011413574,1.3063348531723022,1.3145787715911865
2009-04-12,1.31535,-0.0004066705703736961,1.3058373928070068,1.3055992126464844,1.3024873733520508,1.3004803657531738,1.3063634634017944
2009-04-13,1.3375,-0.00029673576354984007,1.317691445350647,1.3154462575912476,1.3073112964630127,1.3062845468521118,1.3207886219024658
2009-04-14,1.32675,-0.00020512342453008335,1.3185927867889404,1.315734624862671,1.306357979774475,1.3051701784133911,1.3228493928909302
2009-04-15,1.32215,-0.0001051783561708305,1.3102890253067017,1.3094617128372192,1.3046772480010986,1.302652359008789,1.3131678104400635
2009-04-16,1.31855,0.0003455519676206599,1.313877820968628,1.3118820190429688,1.3079134225845337,1.3084193468093872,1.317336916923523
2009-04-17,1.3043,0.00023597478866558243,1.3095433712005615,1.3088886737823486,1.308144450187683,1.3078621625900269,1.3112365007400513
2009-04-18,1.3043,-0.0003434538841248555,1.3085927963256836,1.3081345558166504,1.3057942390441895,1.3048120737075806,1.3085367679595947
2009-04-19,1.3007,-0.00039002895355240685,1.3033708333969116,1.3025529384613037,1.2999862432479858,1.2988026142120361,1.3032958507537842
