day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 52, date: 2009-04-25, price: 1.32395, Account Balance: 9728.666966628796, in play: 295.3491253163842, total: 10024.016091945181
day: 53, date: 2009-04-26, price: 1.32185, Account Balance: 9582.736962129364, in play: 440.57918935536577, total: 10023.316151484729
day: 54, date: 2009-04-27, price: 1.3023, Account Balance: 9438.995907697423, in play: 575.6782187723335, total: 10014.674126469756
day: 55, date: 2009-04-28, price: 1.3131, Account Balance: 9726.024121033683, in play: 295.330871454594, total: 10021.354992488277
day: 56, date: 2009-04-29, price: 1.32655, Account Balance: 9580.133759218177, in play: 445.74063437243933, total: 10025.874393590617
day: 57, date: 2009-04-30, price: 1.3244, Account Balance: 9867.109196507048, in play: 150.01701202926415, total: 10017.126208536312
day: 58, date: 2009-05-01, price: 1.32705, Account Balance: 9719.102558559442, in play: 298.6199673073129, total: 10017.722525866755
day: 59, date: 2009-05-02, price: 1.32705, Account Balance: 9573.31602018105, in play: 444.4065056857045, total: 10017.722525866755
day: 60, date: 2009-05-03, price: 1.32873, Account Balance: 9429.716279878334, in play: 588.7506418237396, total: 10018.466921702073
day: 61, date: 2009-05-04, price: 1.3415, Account Balance: 9288.270535680158, in play: 737.2140704645776, total: 10025.484606144735
day: 62, date: 2009-05-05, price: 1.33035, Account Balance: 9731.358927289837, in play: 288.5797572915528, total: 10019.93868458139
day: 63, date: 2009-05-06, price: 1.33, Account Balance: 9585.38854338049, in play: 434.43581598616726, total: 10019.824359366658
day: 64, date: 2009-05-07, price: 1.3386, Account Balance: 9441.607715229782, in play: 581.955488602722, total: 10023.563203832504
day: 65, date: 2009-05-08, price: 1.3639, Account Balance: 9299.983599501335, in play: 737.2555075058126, total: 10037.239107007146
day: 66, date: 2009-05-09, price: 1.3639, Account Balance: 9861.937446766933, in play: 150.18178852944567, total: 10012.119235296379
day: 67, date: 2009-05-10, price: 1.36315, Account Balance: 9714.00838506543, in play: 297.9469209563158, total: 10011.955306021746
day: 68, date: 2009-05-11, price: 1.3584, Account Balance: 9568.298259289448, in play: 442.11108996159817, total: 10010.409349251046
day: 69, date: 2009-05-12, price: 1.36765, Account Balance: 9424.773785400106, in play: 589.6234385311675, total: 10014.397223931273
day: 70, date: 2009-05-13, price: 1.354, Account Balance: 9283.402178619104, in play: 723.6992588401104, total: 10007.101437459214
day: 71, date: 2009-05-14, price: 1.3631, Account Balance: 9144.151145939817, in play: 868.7500312925331, total: 10012.90117723235
day: 72, date: 2009-05-15, price: 1.34945, Account Balance: 9006.98887875072, in play: 995.8391542704396, total: 10002.82803302116
day: 73, date: 2009-05-16, price: 1.34945, Account Balance: 9579.350271984258, in play: 427.24036586037926, total: 10006.590637844638
day: 74, date: 2009-05-17, price: 1.3453, Account Balance: 9435.660017904494, in play: 569.1748215980396, total: 10004.834839502533
day: 75, date: 2009-05-18, price: 1.355, Account Balance: 9294.125117635927, in play: 715.8341434098361, total: 10009.959261045764
day: 76, date: 2009-05-19, price: 1.3643, Account Balance: 9154.713240871388, in play: 861.1159744087822, total: 10015.82921528017
day: 77, date: 2009-05-20, price: 1.3783, Account Balance: 9447.137276757407, in play: 574.5276690360804, total: 10021.664945793487
day: 78, date: 2009-05-21, price: 1.39405, Account Balance: 9867.197900088711, in play: 151.97895773855163, total: 10019.176857827262
day: 79, date: 2009-05-22, price: 1.39955, Account Balance: 9868.889204959854, in play: 150.88058862349428, total: 10019.76979358335
day: 80, date: 2009-05-23, price: 1.39955, Account Balance: 9720.855866885457, in play: 298.91392669789207, total: 10019.76979358335
day: 81, date: 2009-05-24, price: 1.40255, Account Balance: 9575.043028882175, in play: 445.6800570409285, total: 10020.723085923104
day: 82, date: 2009-05-25, price: 1.4009, Account Balance: 9431.417383448943, in play: 588.6124263634468, total: 10020.02980981239
day: 83, date: 2009-05-26, price: 1.3992, Account Balance: 9289.946122697209, in play: 729.197726469813, total: 10019.143849167021
day: 84, date: 2009-05-27, price: 1.38315, Account Balance: 9150.596930856751, in play: 858.5839551607002, total: 10009.180886017451
day: 85, date: 2009-05-28, price: 1.39475, Account Balance: 9726.127149715627, in play: 299.71890639540624, total: 10025.846056111033
day: 86, date: 2009-05-29, price: 1.41565, Account Balance: 9580.235242469893, in play: 452.2881866507122, total: 10032.523429120605
day: 87, date: 2009-05-30, price: 1.41565, Account Balance: 9877.728850673917, in play: 150.42226676153174, total: 10028.15111743545
day: 88, date: 2009-05-31, price: 1.41041, Account Balance: 9729.562917913809, in play: 297.48298130704404, total: 10027.045899220853
day: 89, date: 2009-06-01, price: 1.41805, Account Balance: 9583.619474145102, in play: 445.82840598029577, total: 10029.447880125397
day: 90, date: 2009-06-02, price: 1.42885, Account Balance: 9439.865182032925, in play: 594.0730144701731, total: 10033.938196503099
day: 91, date: 2009-06-03, price: 1.4142, Account Balance: 9443.900970572156, in play: 583.9875738611734, total: 10027.88854443333
day: 92, date: 2009-06-04, price: 1.41675, Account Balance: 9445.35339541611, in play: 586.5399447948449, total: 10031.893340210956
day: 93, date: 2009-06-05, price: 1.3965, Account Balance: 9303.673094484868, in play: 717.8115921344486, total: 10021.484686619317
day: 94, date: 2009-06-06, price: 1.3965, Account Balance: 9879.455523378401, in play: 150.44856126972186, total: 10029.904084648124
day: 95, date: 2009-06-07, price: 1.39745, Account Balance: 9731.263690527725, in play: 298.843550851092, total: 10030.107241378817
