timestamp,value,slope,1pred,2pred,3pred,4pred,5pred
2009-03-04,1.2633,0.00013372898101773772,1.2637101411819458,1.266122817993164,1.2668051719665527,1.2657899856567383,1.264545202255249
2009-03-05,1.25445,-0.0003948569297792212,1.2601091861724854,1.2615180015563965,1.260597825050354,1.2596944570541382,1.2590466737747192
2009-03-06,1.26485,-0.0011033654212953832,1.2650660276412964,1.263495922088623,1.2621949911117554,1.2607699632644653,1.2609121799468994
2009-03-07,1.26485,-0.00042549371719373624,1.2632189989089966,1.2617634534835815,1.2609483003616333,1.2602596282958984,1.2618434429168701
2009-03-08,1.2715,0.0005746126174925097,1.2662930488586426,1.2644256353378296,1.2639169692993164,1.2655521631240845,1.2686028480529785
2009-03-09,1.2618,0.0014875054359435726,1.2618838548660278,1.2623440027236938,1.2637702226638794,1.2662205696105957,1.267383098602295
2009-03-10,1.27145,0.0007802009582517093,1.266771912574768,1.2675129175186157,1.2699998617172241,1.270872712135315,1.2689930200576782
2009-03-11,1.2805,-0.0009708046913148321,1.2747851610183716,1.2760692834854126,1.2757459878921509,1.2731711864471436,1.2713801860809326
2009-03-12,1.2897,-0.0025578141212464814,1.2857493162155151,1.2844125032424927,1.2811346054077148,1.2783405780792236,1.275996208190918
2009-03-13,1.2928,-0.0029172182083132625,1.28941810131073,1.2851721048355103,1.2820439338684082,1.2789007425308228,1.2779676914215088
2009-03-14,1.2928,-0.0013967514038088255,1.2869572639465332,1.282950520515442,1.280340552330017,1.278769612312317,1.2820639610290527
2009-03-15,1.28805,0.0002195715904233963,1.285285234451294,1.2820730209350586,1.2814960479736328,1.2830942869186401,1.285872459411621
2009-03-16,1.2974,0.0006257057189939856,1.2942558526992798,1.2934225797653198,1.2948790788650513,1.2967699766159058,1.2957106828689575
2009-03-17,1.3032,0.00034178495407096495,1.3003026247024536,1.3003907203674316,1.3040590286254883,1.303662896156311,1.3003754615783691
2009-03-18,1.3487,-0.006572699546814155,1.3338483572006226,1.3284027576446533,1.3213117122650146,1.3127586841583252,1.3088068962097168
2009-03-19,1.36595,-0.0074806571006776085,1.362094521522522,1.35223388671875,1.3353978395462036,1.3264447450637817,1.3375858068466187
